From (presynaptic type),To (postsynaptic type)
DG MOLAX,DG Neurogliaform
DG MOLAX,DG Outer Molecular Layer
DG MOLAX,DG Total Molecular Layer
DG MOLAX,CA1 NGF Projecting
DG MOPP,DG Granule
DG MOPP,DG Hilar Ectopic Granule
DG MOPP,DG Semilunar Granule
DG MOPP,DG Mossy MOLDEN
DG MOPP,DG AIPRIM
DG MOPP,DG Axo-Axonic
DG MOPP,DG Basket
DG MOPP,DG BC CCK+
DG MOPP,DG HICAP
DG MOPP,DG MOLAX
DG MOPP,DG MOPP
DG MOPP,DG Neurogliaform
DG MOPP,DG Outer Molecular Layer
DG MOPP,DG Total Molecular Layer
DG MOPP,CA1 NGF Projecting
DG Neurogliaform,DG Granule
DG Neurogliaform,DG Hilar Ectopic Granule
DG Neurogliaform,DG Semilunar Granule
DG Neurogliaform,DG Mossy MOLDEN
DG Neurogliaform,DG AIPRIM
DG Neurogliaform,DG Axo-Axonic
DG Neurogliaform,DG Basket
DG Neurogliaform,DG BC CCK+
DG Neurogliaform,DG HICAP
DG Neurogliaform,DG MOLAX
DG Neurogliaform,DG MOPP
DG Neurogliaform,DG Neurogliaform
DG Neurogliaform,DG Outer Molecular Layer
DG Neurogliaform,DG Total Molecular Layer
DG Neurogliaform,CA1 NGF Projecting
DG Neurogliaform,Sub EC-Proj Pyramidal
DG Neurogliaform,Sub CA1-Proj Pyramidal
DG Neurogliaform,Sub Axo-axonic
DG Outer Molecular Layer,DG Granule
DG Outer Molecular Layer,DG Hilar Ectopic Granule
DG Outer Molecular Layer,DG Semilunar Granule
DG Outer Molecular Layer,DG Mossy MOLDEN
DG Outer Molecular Layer,DG AIPRIM
DG Outer Molecular Layer,DG Axo-Axonic
DG Outer Molecular Layer,DG Basket
DG Outer Molecular Layer,DG BC CCK+
DG Outer Molecular Layer,DG HICAP
DG Outer Molecular Layer,DG MOLAX
DG Outer Molecular Layer,DG MOPP
DG Outer Molecular Layer,DG Neurogliaform
DG Outer Molecular Layer,DG Outer Molecular Layer
DG Outer Molecular Layer,DG Total Molecular Layer
DG Outer Molecular Layer,CA1 NGF Projecting
DG Total Molecular Layer,DG Granule
DG Total Molecular Layer,DG Hilar Ectopic Granule
DG Total Molecular Layer,DG Semilunar Granule
DG Total Molecular Layer,DG Mossy
DG Total Molecular Layer,DG Mossy MOLDEN
DG Total Molecular Layer,DG AIPRIM
DG Total Molecular Layer,DG Axo-Axonic
DG Total Molecular Layer,DG Basket
DG Total Molecular Layer,DG BC CCK+
DG Total Molecular Layer,DG HICAP
DG Total Molecular Layer,DG HIPP
DG Total Molecular Layer,DG HIPROM
DG Total Molecular Layer,DG MOCAP
DG Total Molecular Layer,DG MOLAX
DG Total Molecular Layer,DG MOPP
DG Total Molecular Layer,DG Neurogliaform
DG Total Molecular Layer,DG Outer Molecular Layer
DG Total Molecular Layer,DG Total Molecular Layer
DG Total Molecular Layer,CA3 IS Quad
DG Total Molecular Layer,CA1 NGF Projecting
CA3 Pyramidal,CA3 Pyramidal
CA3 Pyramidal,CA3c Pyramidal
CA3 Pyramidal,CA3 Giant
CA3 Pyramidal,CA3 Granule
CA3 Pyramidal,CA3 Axo-Axonic
CA3 Pyramidal,CA3 Horizontal AA
CA3 Pyramidal,CA3 Basket
CA3 Pyramidal,CA3 BC CCK+
CA3 Pyramidal,CA3 Bistratified
CA3 Pyramidal,CA3 IS Oriens
CA3 Pyramidal,CA3 IS Quad
CA3 Pyramidal,CA3 Ivy
CA3 Pyramidal,CA3 LMR-Targeting
CA3 Pyramidal,CA3 Lucidum LAX
CA3 Pyramidal,CA3 Lucidum ORAX
CA3 Pyramidal,CA3 Lucidum-Radiatum
CA3 Pyramidal,CA3 Mossy Fiber-Associated
CA3 Pyramidal,CA3 MFA ORDEN
CA3 Pyramidal,CA3 O-LM
CA3 Pyramidal,CA3 QuadD-LM
CA3 Pyramidal,CA3 Radiatum
CA3 Pyramidal,CA3 R-LM
CA3 Pyramidal,CA3 SO-SO
CA3 Pyramidal,CA3 Trilaminar
CA3 Pyramidal,CA2 Pyramidal
CA3 Pyramidal,CA2 Basket
CA3 Pyramidal,CA2 Wide-Arbor BC
CA3 Pyramidal,CA2 Bistratified
CA3 Pyramidal,CA2 SP-SR
CA3 Pyramidal,CA1 Pyramidal
CA3 Pyramidal,CA1 Superficial Pyramidal
CA3 Pyramidal,CA1 Deep Pyramidal
CA3 Pyramidal,CA1 Radiatum Giant
CA3 Pyramidal,CA1 Axo-Axonic
CA3 Pyramidal,CA1 Horizontal AA
CA3 Pyramidal,CA1 Back-Projection
CA3 Pyramidal,CA1 Basket
CA3 Pyramidal,CA1 BC CCK+
CA3 Pyramidal,CA1 Horizontal BC
CA3 Pyramidal,CA1 Bistratified
CA3 Pyramidal,CA1 C-Bistratified
CA3 Pyramidal,CA1 IS LMO-O
CA3 Pyramidal,CA1 IS LMR-R
CA3 Pyramidal,CA1 IS O-R
CA3 Pyramidal,CA1 IS O-Target QuadD
CA3 Pyramidal,CA1 IS R-O
CA3 Pyramidal,CA1 IS RO-O
CA3 Pyramidal,CA1 Ivy
CA3 Pyramidal,CA1 LMR
CA3 Pyramidal,CA1 LMR Projecting
CA3 Pyramidal,CA1 O-LM
CA3 Pyramidal,CA1 Recurrent O-LM
CA3 Pyramidal,CA1 O-LMR
CA3 Pyramidal,CA1 Oriens/Alveus
CA3 Pyramidal,CA1 Oriens-Bistratified
CA3 Pyramidal,CA1 Oriens-Bistratified Projecting
CA3 Pyramidal,CA1 OR-LM
CA3 Pyramidal,CA1 Perforant Path-Assoc
CA3 Pyramidal,CA1 PPA QuadD
CA3 Pyramidal,CA1 Quadrilaminar
CA3 Pyramidal,CA1 Radiatum
CA3 Pyramidal,CA1 R-Recv Apical-Target
CA3 Pyramidal,CA1 Schaffer Collateral-Assoc
CA3 Pyramidal,CA1 SC-Receiving R-Targeting
CA3 Pyramidal,CA1 SO-SO
CA3 Pyramidal,CA1 Hipp-SUB Proj ENK+
CA3 Pyramidal,CA1 Trilaminar
CA3 Pyramidal,CA1 Radial Trilaminar
CA3c Pyramidal,DG Granule
CA3c Pyramidal,DG Hilar Ectopic Granule
CA3c Pyramidal,DG Semilunar Granule
CA3c Pyramidal,DG Mossy
CA3c Pyramidal,DG Mossy MOLDEN
CA3c Pyramidal,DG AIPRIM
CA3c Pyramidal,DG Axo-Axonic
CA3c Pyramidal,DG Basket
CA3c Pyramidal,DG BC CCK+
CA3c Pyramidal,DG HICAP
CA3c Pyramidal,DG HIPP
CA3c Pyramidal,DG HIPROM
CA3c Pyramidal,DG MOCAP
CA3c Pyramidal,DG MOLAX
CA3c Pyramidal,DG Outer Molecular Layer
CA3c Pyramidal,DG Total Molecular Layer
CA3c Pyramidal,CA3 Pyramidal
CA3c Pyramidal,CA3c Pyramidal
CA3c Pyramidal,CA3 Giant
CA3c Pyramidal,CA3 Granule
CA3c Pyramidal,CA3 Axo-Axonic
CA3c Pyramidal,CA3 Horizontal AA
CA3c Pyramidal,CA3 Basket
CA3c Pyramidal,CA3 BC CCK+
CA3c Pyramidal,CA3 Bistratified
CA3c Pyramidal,CA3 IS Oriens
CA3c Pyramidal,CA3 IS Quad
CA3c Pyramidal,CA3 Ivy
CA3c Pyramidal,CA3 LMR-Targeting
CA3c Pyramidal,CA3 Lucidum LAX
CA3c Pyramidal,CA3 Lucidum ORAX
CA3c Pyramidal,CA3 Lucidum-Radiatum
CA3c Pyramidal,CA3 Mossy Fiber-Associated
CA3c Pyramidal,CA3 MFA ORDEN
CA3c Pyramidal,CA3 O-LM
CA3c Pyramidal,CA3 QuadD-LM
CA3c Pyramidal,CA3 Radiatum
CA3c Pyramidal,CA3 R-LM
CA3c Pyramidal,CA3 SO-SO
CA3c Pyramidal,CA3 Trilaminar
CA3c Pyramidal,CA2 Pyramidal
CA3c Pyramidal,CA2 Basket
CA3c Pyramidal,CA2 Wide-Arbor BC
CA3c Pyramidal,CA2 Bistratified
CA3c Pyramidal,CA2 SP-SR
CA3c Pyramidal,CA1 Pyramidal
CA3c Pyramidal,CA1 Superficial Pyramidal
CA3c Pyramidal,CA1 Deep Pyramidal
CA3c Pyramidal,CA1 Radiatum Giant
CA3c Pyramidal,CA1 Axo-Axonic
CA3c Pyramidal,CA1 Horizontal AA
CA3c Pyramidal,CA1 Back-Projection
CA3c Pyramidal,CA1 Basket
CA3c Pyramidal,CA1 BC CCK+
CA3c Pyramidal,CA1 Horizontal BC
CA3c Pyramidal,CA1 Bistratified
CA3c Pyramidal,CA1 C-Bistratified
CA3c Pyramidal,CA1 IS LMO-O
CA3c Pyramidal,CA1 IS LMR-R
CA3c Pyramidal,CA1 IS O-R
CA3c Pyramidal,CA1 IS O-Target QuadD
CA3c Pyramidal,CA1 IS R-O
CA3c Pyramidal,CA1 IS RO-O
CA3c Pyramidal,CA1 Ivy
CA3c Pyramidal,CA1 LMR
CA3c Pyramidal,CA1 LMR Projecting
CA3c Pyramidal,CA1 O-LM
CA3c Pyramidal,CA1 Recurrent O-LM
CA3c Pyramidal,CA1 O-LMR
CA3c Pyramidal,CA1 Oriens/Alveus
CA3c Pyramidal,CA1 Oriens-Bistratified
CA3c Pyramidal,CA1 Oriens-Bistratified Projecting
CA3c Pyramidal,CA1 OR-LM
CA3c Pyramidal,CA1 Perforant Path-Assoc
CA3c Pyramidal,CA1 PPA QuadD
CA3c Pyramidal,CA1 Quadrilaminar
CA3c Pyramidal,CA1 Radiatum
CA3c Pyramidal,CA1 R-Recv Apical-Target
CA3c Pyramidal,CA1 Schaffer Collateral-Assoc
CA3c Pyramidal,CA1 SC-Receiving R-Targeting
CA3c Pyramidal,CA1 SO-SO
CA3c Pyramidal,CA1 Hipp-SUB Proj ENK+
CA3c Pyramidal,CA1 Trilaminar
CA3c Pyramidal,CA1 Radial Trilaminar
CA3c Pyramidal,Sub EC-Proj Pyramidal
CA3c Pyramidal,Sub CA1-Proj Pyramidal
CA3c Pyramidal,Sub Axo-axonic
CA3 Giant,CA3 Pyramidal
CA3 Giant,CA3c Pyramidal
CA3 Giant,CA3 Axo-Axonic
CA3 Giant,CA3 Basket
CA3 Giant,CA3 BC CCK+
CA3 Giant,CA3 Bistratified
CA3 Giant,CA3 IS Quad
CA3 Giant,CA3 Ivy
CA3 Giant,CA3 Spiny Lucidum
CA3 Giant,CA3 Mossy Fiber-Associated
CA3 Giant,CA3 MFA ORDEN
CA3 Giant,CA3 QuadD-LM
CA3 Giant,CA2 Wide-Arbor BC
CA3 Granule,CA3 Pyramidal
CA3 Granule,CA3c Pyramidal
CA3 Granule,CA3 Axo-Axonic
CA3 Granule,CA3 Basket
CA3 Granule,CA3 BC CCK+
CA3 Granule,CA3 Bistratified
CA3 Granule,CA3 IS Quad
CA3 Granule,CA3 Ivy
CA3 Granule,CA3 LMR-Targeting
CA3 Granule,CA3 Lucidum LAX
CA3 Granule,CA3 Lucidum ORAX
CA3 Granule,CA3 Lucidum-Radiatum
CA3 Granule,CA3 Spiny Lucidum
CA3 Granule,CA3 Mossy Fiber-Associated
CA3 Granule,CA3 MFA ORDEN
CA3 Granule,CA3 QuadD-LM
CA3 Axo-Axonic,CA3 Pyramidal
CA3 Axo-Axonic,CA3c Pyramidal
CA3 Horizontal AA,CA3 Pyramidal
CA3 Horizontal AA,CA3c Pyramidal
CA3 Basket,CA3 Pyramidal
CA3 Basket,CA3c Pyramidal
CA3 Basket,CA3 Axo-Axonic
CA3 Basket,CA3 Basket
CA3 Basket,CA3 BC CCK+
CA3 Basket,CA3 Bistratified
CA3 Basket,CA3 IS Quad
CA3 Basket,CA3 MFA ORDEN
CA3 Basket,CA3 QuadD-LM
CA3 BC CCK+,CA3 Pyramidal
CA3 BC CCK+,CA3c Pyramidal
CA3 BC CCK+,CA3 Axo-Axonic
CA3 BC CCK+,CA3 Basket
CA3 BC CCK+,CA3 BC CCK+
CA3 BC CCK+,CA3 Bistratified
CA3 BC CCK+,CA3 IS Quad
CA3 BC CCK+,CA3 MFA ORDEN
CA3 BC CCK+,CA3 QuadD-LM
CA3 Bistratified,CA3 Pyramidal
CA3 Bistratified,CA3c Pyramidal
CA3 Bistratified,CA3 Giant
CA3 Bistratified,CA3 Granule
