From (presynaptic type),To (postsynaptic type)
CA1 Deep Pyramidal,CA1 Oriens/Alveus
CA1 Deep Pyramidal,CA1 Oriens-Bistratified
CA1 Deep Pyramidal,CA1 Oriens-Bistratified Projecting
CA1 Deep Pyramidal,CA1 OR-LM
CA1 Deep Pyramidal,CA1 PPA QuadD
CA1 Deep Pyramidal,CA1 Quadrilaminar
CA1 Deep Pyramidal,CA1 SC-Receiving R-Targeting
CA1 Deep Pyramidal,CA1 SO-SO
CA1 Deep Pyramidal,CA1 Hipp-SUB Proj ENK+
CA1 Deep Pyramidal,CA1 Trilaminar
CA1 Deep Pyramidal,CA1 Radial Trilaminar
CA1 Deep Pyramidal,Sub EC-Proj Pyramidal
CA1 Deep Pyramidal,Sub CA1-Proj Pyramidal
CA1 Deep Pyramidal,Sub Axo-axonic
CA1 Deep Pyramidal,LEC LIII Multipolar Principal
CA1 Deep Pyramidal,EC LIII-V Bipolar Pyramidal
CA1 Deep Pyramidal,EC LIV-V Pyramidal-Horiz
CA1 Deep Pyramidal,EC LIV-VI Deep Multipolar
CA1 Deep Pyramidal,MEC LV Multipolar-PC
CA1 Deep Pyramidal,EC LV Deep Pyramidal
CA1 Deep Pyramidal,MEC LV Pyramidal
CA1 Deep Pyramidal,MEC LV Superficial PC
CA1 Deep Pyramidal,MEC LV-VI PC-Polymorph
CA1 Deep Pyramidal,LEC LVI Multipolar-PC
CA1 Deep Pyramidal,MEC LIII Multipolar
CA1 Cajal-Retzius,CA1 Pyramidal
CA1 Cajal-Retzius,CA1 Superficial Pyramidal
CA1 Cajal-Retzius,CA1 Deep Pyramidal
CA1 Cajal-Retzius,CA1 Cajal-Retzius
CA1 Cajal-Retzius,CA1 Radiatum Giant
CA1 Cajal-Retzius,CA1 Axo-Axonic
CA1 Cajal-Retzius,CA1 Basket
CA1 Cajal-Retzius,CA1 BC CCK+
CA1 Cajal-Retzius,CA1 IS LMO-O
CA1 Cajal-Retzius,CA1 IS LM-R
CA1 Cajal-Retzius,CA1 IS LMR-R
CA1 Cajal-Retzius,CA1 IS O-Target QuadD
CA1 Cajal-Retzius,CA1 LMR
CA1 Cajal-Retzius,CA1 LMR Projecting
CA1 Cajal-Retzius,CA1 Neurogliaform
CA1 Cajal-Retzius,CA1 NGF Projecting
CA1 Cajal-Retzius,CA1 Oriens/Alveus
CA1 Cajal-Retzius,CA1 Perforant Path-Assoc
CA1 Cajal-Retzius,CA1 PPA QuadD
CA1 Cajal-Retzius,CA1 Quadrilaminar
CA1 Cajal-Retzius,CA1 Schaffer Collateral-Assoc
CA1 Cajal-Retzius,CA1 Radial Trilaminar
CA1 Radiatum Giant,CA1 Pyramidal
CA1 Radiatum Giant,CA1 Superficial Pyramidal
CA1 Radiatum Giant,CA1 Deep Pyramidal
CA1 Radiatum Giant,CA1 Axo-Axonic
CA1 Radiatum Giant,CA1 Horizontal AA
CA1 Radiatum Giant,CA1 Back-Projection
CA1 Radiatum Giant,CA1 Basket
CA1 Radiatum Giant,CA1 BC CCK+
CA1 Radiatum Giant,CA1 Horizontal BC
CA1 Radiatum Giant,CA1 Bistratified
CA1 Radiatum Giant,CA1 C-Bistratified
CA1 Radiatum Giant,CA1 IS LMO-O
CA1 Radiatum Giant,CA1 IS O-R
CA1 Radiatum Giant,CA1 IS O-Target QuadD
CA1 Radiatum Giant,CA1 IS RO-O
CA1 Radiatum Giant,CA1 Ivy
CA1 Radiatum Giant,CA1 O-LM
CA1 Radiatum Giant,CA1 Recurrent O-LM
CA1 Radiatum Giant,CA1 O-LMR
CA1 Radiatum Giant,CA1 Oriens/Alveus
CA1 Radiatum Giant,CA1 Oriens-Bistratified
CA1 Radiatum Giant,CA1 Oriens-Bistratified Projecting
CA1 Radiatum Giant,CA1 OR-LM
CA1 Radiatum Giant,CA1 PPA QuadD
CA1 Radiatum Giant,CA1 Quadrilaminar
CA1 Radiatum Giant,CA1 SC-Receiving R-Targeting
CA1 Radiatum Giant,CA1 SO-SO
CA1 Radiatum Giant,CA1 Hipp-SUB Proj ENK+
CA1 Radiatum Giant,CA1 Trilaminar
CA1 Radiatum Giant,CA1 Radial Trilaminar
CA1 Axo-Axonic,CA1 Pyramidal
CA1 Axo-Axonic,CA1 Superficial Pyramidal
CA1 Axo-Axonic,CA1 Deep Pyramidal
CA1 Axo-Axonic,CA1 Radiatum Giant
CA1 Horizontal AA,CA1 Pyramidal
CA1 Horizontal AA,CA1 Superficial Pyramidal
CA1 Horizontal AA,CA1 Deep Pyramidal
CA1 Horizontal AA,CA1 Radiatum Giant
CA1 Back-Projection,DG Hilar Ectopic Granule
CA1 Back-Projection,DG Mossy
CA1 Back-Projection,DG Mossy MOLDEN
CA1 Back-Projection,DG AIPRIM
CA1 Back-Projection,DG Axo-Axonic
CA1 Back-Projection,DG Basket
CA1 Back-Projection,DG BC CCK+
CA1 Back-Projection,DG HICAP
CA1 Back-Projection,DG HIPP
CA1 Back-Projection,DG HIPROM
CA1 Back-Projection,DG MOLAX
CA1 Back-Projection,DG Outer Molecular Layer
CA1 Back-Projection,DG Total Molecular Layer
CA1 Back-Projection,CA3 Pyramidal
CA1 Back-Projection,CA3c Pyramidal
CA1 Back-Projection,CA3 Giant
CA1 Back-Projection,CA3 Granule
CA1 Back-Projection,CA3 Axo-Axonic
CA1 Back-Projection,CA3 Horizontal AA
CA1 Back-Projection,CA3 Basket
CA1 Back-Projection,CA3 BC CCK+
CA1 Back-Projection,CA3 Bistratified
CA1 Back-Projection,CA3 IS Oriens
CA1 Back-Projection,CA3 IS Quad
CA1 Back-Projection,CA3 Ivy
CA1 Back-Projection,CA3 LMR-Targeting
CA1 Back-Projection,CA3 Lucidum LAX
CA1 Back-Projection,CA3 Lucidum ORAX
CA1 Back-Projection,CA3 Lucidum-Radiatum
CA1 Back-Projection,CA3 Spiny Lucidum
CA1 Back-Projection,CA3 Mossy Fiber-Associated
CA1 Back-Projection,CA3 MFA ORDEN
CA1 Back-Projection,CA3 O-LM
CA1 Back-Projection,CA3 QuadD-LM
CA1 Back-Projection,CA3 Radiatum
CA1 Back-Projection,CA3 R-LM
CA1 Back-Projection,CA3 SO-SO
CA1 Back-Projection,CA3 Trilaminar
CA1 Back-Projection,CA2 Wide-Arbor BC
CA1 Back-Projection,CA1 Pyramidal
CA1 Back-Projection,CA1 Superficial Pyramidal
CA1 Back-Projection,CA1 Deep Pyramidal
CA1 Back-Projection,CA1 Cajal-Retzius
CA1 Back-Projection,CA1 Radiatum Giant
CA1 Back-Projection,CA1 Axo-Axonic
CA1 Back-Projection,CA1 Horizontal AA
CA1 Back-Projection,CA1 Back-Projection
CA1 Back-Projection,CA1 Basket
CA1 Back-Projection,CA1 BC CCK+
CA1 Back-Projection,CA1 Horizontal BC
CA1 Back-Projection,CA1 Bistratified
CA1 Back-Projection,CA1 C-Bistratified
CA1 Back-Projection,CA1 IS LMO-O
CA1 Back-Projection,CA1 IS LM-R
CA1 Back-Projection,CA1 IS LMR-R
CA1 Back-Projection,CA1 IS O-R
CA1 Back-Projection,CA1 IS O-Target QuadD
CA1 Back-Projection,CA1 IS R-O
CA1 Back-Projection,CA1 IS RO-O
CA1 Back-Projection,CA1 Ivy
CA1 Back-Projection,CA1 LMR
CA1 Back-Projection,CA1 LMR Projecting
CA1 Back-Projection,CA1 Neurogliaform
CA1 Back-Projection,CA1 NGF Projecting
CA1 Back-Projection,CA1 O-LM
CA1 Back-Projection,CA1 Recurrent O-LM
CA1 Back-Projection,CA1 O-LMR
CA1 Back-Projection,CA1 Oriens/Alveus
CA1 Back-Projection,CA1 Oriens-Bistratified
CA1 Back-Projection,CA1 Oriens-Bistratified Projecting
CA1 Back-Projection,CA1 OR-LM
CA1 Back-Projection,CA1 Perforant Path-Assoc
CA1 Back-Projection,CA1 PPA QuadD
CA1 Back-Projection,CA1 Quadrilaminar
CA1 Back-Projection,CA1 Radiatum
CA1 Back-Projection,CA1 R-Recv Apical-Target
CA1 Back-Projection,CA1 Schaffer Collateral-Assoc
CA1 Back-Projection,CA1 SC-Receiving R-Targeting
CA1 Back-Projection,CA1 SO-SO
CA1 Back-Projection,CA1 Hipp-SUB Proj ENK+
CA1 Back-Projection,CA1 Trilaminar
CA1 Back-Projection,CA1 Radial Trilaminar
CA1 Basket,CA1 Pyramidal
CA1 Basket,CA1 Superficial Pyramidal
CA1 Basket,CA1 Deep Pyramidal
CA1 Basket,CA1 Radiatum Giant
CA1 Basket,CA1 Axo-Axonic
CA1 Basket,CA1 Basket
CA1 Basket,CA1 BC CCK+
CA1 Basket,CA1 Horizontal BC
CA1 Basket,CA1 Bistratified
CA1 Basket,CA1 C-Bistratified
CA1 Basket,CA1 IS LMO-O
CA1 Basket,CA1 IS LMR-R
CA1 Basket,CA1 IS O-Target QuadD
CA1 Basket,CA1 IS R-O
CA1 Basket,CA1 IS RO-O
CA1 Basket,CA1 Ivy
CA1 Basket,CA1 OR-LM
CA1 Basket,CA1 Radial Trilaminar
CA1 BC CCK+,CA1 Pyramidal
CA1 BC CCK+,CA1 Superficial Pyramidal
CA1 BC CCK+,CA1 Deep Pyramidal
CA1 BC CCK+,CA1 Radiatum Giant
CA1 BC CCK+,CA1 Axo-Axonic
CA1 BC CCK+,CA1 Basket
CA1 BC CCK+,CA1 BC CCK+
CA1 BC CCK+,CA1 Horizontal BC
CA1 BC CCK+,CA1 Bistratified
CA1 BC CCK+,CA1 C-Bistratified
CA1 BC CCK+,CA1 IS LMO-O
CA1 BC CCK+,CA1 IS LMR-R
CA1 BC CCK+,CA1 IS O-Target QuadD
CA1 BC CCK+,CA1 IS R-O
CA1 BC CCK+,CA1 IS RO-O
CA1 BC CCK+,CA1 Ivy
CA1 BC CCK+,CA1 OR-LM
CA1 BC CCK+,CA1 Radial Trilaminar
CA1 Horizontal BC,CA1 Pyramidal
CA1 Horizontal BC,CA1 Superficial Pyramidal
CA1 Horizontal BC,CA1 Deep Pyramidal
CA1 Horizontal BC,CA1 Radiatum Giant
CA1 Horizontal BC,CA1 Axo-Axonic
CA1 Horizontal BC,CA1 Basket
CA1 Horizontal BC,CA1 BC CCK+
CA1 Horizontal BC,CA1 Horizontal BC
CA1 Horizontal BC,CA1 Bistratified
CA1 Horizontal BC,CA1 C-Bistratified
CA1 Horizontal BC,CA1 IS LMO-O
CA1 Horizontal BC,CA1 IS LMR-R
CA1 Horizontal BC,CA1 IS O-Target QuadD
CA1 Horizontal BC,CA1 IS R-O
CA1 Horizontal BC,CA1 IS RO-O
CA1 Horizontal BC,CA1 Ivy
CA1 Horizontal BC,CA1 OR-LM
CA1 Horizontal BC,CA1 Radial Trilaminar
CA1 Bistratified,CA2 Wide-Arbor BC
CA1 Bistratified,CA1 Pyramidal
CA1 Bistratified,CA1 Superficial Pyramidal
CA1 Bistratified,CA1 Deep Pyramidal
CA1 Bistratified,CA1 Radiatum Giant
CA1 Bistratified,CA1 Axo-Axonic
CA1 Bistratified,CA1 Horizontal AA
CA1 Bistratified,CA1 Back-Projection
CA1 Bistratified,CA1 Basket
CA1 Bistratified,CA1 BC CCK+
CA1 Bistratified,CA1 Horizontal BC
CA1 Bistratified,CA1 Bistratified
CA1 Bistratified,CA1 C-Bistratified
CA1 Bistratified,CA1 IS LMO-O
CA1 Bistratified,CA1 IS LMR-R
CA1 Bistratified,CA1 IS O-R
CA1 Bistratified,CA1 IS O-Target QuadD
CA1 Bistratified,CA1 IS R-O
CA1 Bistratified,CA1 IS RO-O
CA1 Bistratified,CA1 Ivy
CA1 Bistratified,CA1 LMR
CA1 Bistratified,CA1 LMR Projecting
CA1 Bistratified,CA1 O-LM
CA1 Bistratified,CA1 Recurrent O-LM
CA1 Bistratified,CA1 O-LMR
CA1 Bistratified,CA1 Oriens/Alveus
CA1 Bistratified,CA1 Oriens-Bistratified
CA1 Bistratified,CA1 Oriens-Bistratified Projecting
CA1 Bistratified,CA1 OR-LM
CA1 Bistratified,CA1 Perforant Path-Assoc
CA1 Bistratified,CA1 PPA QuadD
CA1 Bistratified,CA1 Quadrilaminar
CA1 Bistratified,CA1 Radiatum
CA1 Bistratified,CA1 R-Recv Apical-Target
CA1 Bistratified,CA1 Schaffer Collateral-Assoc
CA1 Bistratified,CA1 SC-Receiving R-Targeting
CA1 Bistratified,CA1 SO-SO
CA1 Bistratified,CA1 Hipp-SUB Proj ENK+
CA1 Bistratified,CA1 Trilaminar
CA1 Bistratified,CA1 Radial Trilaminar
CA1 C-Bistratified,CA1 Pyramidal
CA1 C-Bistratified,CA1 Superficial Pyramidal
CA1 C-Bistratified,CA1 Deep Pyramidal
CA1 C-Bistratified,CA1 Radiatum Giant
CA1 C-Bistratified,CA1 Axo-Axonic
CA1 C-Bistratified,CA1 Basket
CA1 C-Bistratified,CA1 BC CCK+
CA1 C-Bistratified,CA1 Bistratified
CA1 C-Bistratified,CA1 C-Bistratified
CA1 C-Bistratified,CA1 IS LMR-R
CA1 C-Bistratified,CA1 IS O-Target QuadD
CA1 C-Bistratified,CA1 IS R-O
CA1 C-Bistratified,CA1 IS RO-O
CA1 C-Bistratified,CA1 Ivy
CA1 C-Bistratified,CA1 LMR
CA1 C-Bistratified,CA1 LMR Projecting
CA1 C-Bistratified,CA1 Oriens/Alveus
CA1 C-Bistratified,CA1 OR-LM
CA1 C-Bistratified,CA1 Perforant Path-Assoc
CA1 C-Bistratified,CA1 PPA QuadD
CA1 C-Bistratified,CA1 Quadrilaminar
CA1 C-Bistratified,CA1 Radiatum
CA1 C-Bistratified,CA1 R-Recv Apical-Target
CA1 C-Bistratified,CA1 Schaffer Collateral-Assoc
CA1 C-Bistratified,CA1 SC-Receiving R-Targeting
CA1 C-Bistratified,CA1 Hipp-SUB Proj ENK+
CA1 C-Bistratified,CA1 Radial Trilaminar
CA1 IS LMO-O,CA1 Axo-Axonic
CA1 IS LMO-O,CA1 Horizontal AA
CA1 IS LMO-O,CA1 Back-Projection
CA1 IS LMO-O,CA1 Basket
CA1 IS LMO-O,CA1 BC CCK+
CA1 IS LMO-O,CA1 Horizontal BC
CA1 IS LMO-O,CA1 Bistratified
CA1 IS LMO-O,CA1 C-Bistratified
CA1 IS LMO-O,CA1 IS LMO-O
CA1 IS LMO-O,CA1 IS O-R
CA1 IS LMO-O,CA1 IS O-Target QuadD
CA1 IS LMO-O,CA1 IS RO-O
CA1 IS LMO-O,CA1 Ivy
CA1 IS LMO-O,CA1 O-LM
CA1 IS LMO-O,CA1 Recurrent O-LM
CA1 IS LMO-O,CA1 O-LMR
CA1 IS LMO-O,CA1 Oriens/Alveus
CA1 IS LMO-O,CA1 Oriens-Bistratified
CA1 IS LMO-O,CA1 Oriens-Bistratified Projecting
CA1 IS LMO-O,CA1 OR-LM
CA1 IS LMO-O,CA1 PPA QuadD
CA1 IS LMO-O,CA1 Quadrilaminar
CA1 IS LMO-O,CA1 SC-Receiving R-Targeting
CA1 IS LMO-O,CA1 SO-SO
CA1 IS LMO-O,CA1 Hipp-SUB Proj ENK+
CA1 IS LMO-O,CA1 Trilaminar
CA1 IS LMO-O,CA1 Radial Trilaminar
CA1 IS LM-R,CA1 Axo-Axonic
CA1 IS LM-R,CA1 Basket
CA1 IS LM-R,CA1 BC CCK+
CA1 IS LM-R,CA1 Bistratified
CA1 IS LM-R,CA1 C-Bistratified
CA1 IS LM-R,CA1 IS LMR-R
CA1 IS LM-R,CA1 IS O-Target QuadD
CA1 IS LM-R,CA1 IS R-O
CA1 IS LM-R,CA1 IS RO-O
CA1 IS LM-R,CA1 Ivy
CA1 IS LM-R,CA1 LMR
CA1 IS LM-R,CA1 LMR Projecting
CA1 IS LM-R,CA1 Oriens/Alveus
CA1 IS LM-R,CA1 OR-LM
CA1 IS LM-R,CA1 Perforant Path-Assoc
CA1 IS LM-R,CA1 PPA QuadD
CA1 IS LM-R,CA1 Quadrilaminar
CA1 IS LM-R,CA1 Radiatum
CA1 IS LM-R,CA1 R-Recv Apical-Target
CA1 IS LM-R,CA1 Schaffer Collateral-Assoc
CA1 IS LM-R,CA1 SC-Receiving R-Targeting
CA1 IS LM-R,CA1 Hipp-SUB Proj ENK+
CA1 IS LM-R,CA1 Radial Trilaminar
CA1 IS LMR-R,CA1 Axo-Axonic
CA1 IS LMR-R,CA1 Basket
CA1 IS LMR-R,CA1 BC CCK+
CA1 IS LMR-R,CA1 Bistratified
CA1 IS LMR-R,CA1 C-Bistratified
CA1 IS LMR-R,CA1 IS LMR-R
CA1 IS LMR-R,CA1 IS O-Target QuadD
CA1 IS LMR-R,CA1 IS R-O
CA1 IS LMR-R,CA1 IS RO-O
CA1 IS LMR-R,CA1 Ivy
CA1 IS LMR-R,CA1 LMR
CA1 IS LMR-R,CA1 LMR Projecting
CA1 IS LMR-R,CA1 Oriens/Alveus
CA1 IS LMR-R,CA1 OR-LM
CA1 IS LMR-R,CA1 Perforant Path-Assoc
CA1 IS LMR-R,CA1 PPA QuadD
CA1 IS LMR-R,CA1 Quadrilaminar
CA1 IS LMR-R,CA1 Radiatum
CA1 IS LMR-R,CA1 R-Recv Apical-Target
CA1 IS LMR-R,CA1 Schaffer Collateral-Assoc
CA1 IS LMR-R,CA1 SC-Receiving R-Targeting
CA1 IS LMR-R,CA1 Hipp-SUB Proj ENK+
CA1 IS LMR-R,CA1 Radial Trilaminar
CA1 IS O-R,CA1 Axo-Axonic
CA1 IS O-R,CA1 Basket
CA1 IS O-R,CA1 BC CCK+
CA1 IS O-R,CA1 Bistratified
CA1 IS O-R,CA1 C-Bistratified
CA1 IS O-R,CA1 IS LMR-R
CA1 IS O-R,CA1 IS O-Target QuadD
CA1 IS O-R,CA1 IS R-O
CA1 IS O-R,CA1 IS RO-O
CA1 IS O-R,CA1 Ivy
CA1 IS O-R,CA1 LMR
CA1 IS O-R,CA1 LMR Projecting
CA1 IS O-R,CA1 Oriens/Alveus
CA1 IS O-R,CA1 OR-LM
CA1 IS O-R,CA1 Perforant Path-Assoc
CA1 IS O-R,CA1 PPA QuadD
CA1 IS O-R,CA1 Quadrilaminar
CA1 IS O-R,CA1 Radiatum
CA1 IS O-R,CA1 R-Recv Apical-Target
CA1 IS O-R,CA1 Schaffer Collateral-Assoc
CA1 IS O-R,CA1 SC-Receiving R-Targeting
CA1 IS O-R,CA1 Hipp-SUB Proj ENK+
CA1 IS O-R,CA1 Radial Trilaminar
CA1 IS O-Target QuadD,CA1 Axo-Axonic
CA1 IS O-Target QuadD,CA1 Horizontal AA
CA1 IS O-Target QuadD,CA1 Back-Projection
CA1 IS O-Target QuadD,CA1 Basket
CA1 IS O-Target QuadD,CA1 BC CCK+
CA1 IS O-Target QuadD,CA1 Horizontal BC
CA1 IS O-Target QuadD,CA1 Bistratified
CA1 IS O-Target QuadD,CA1 C-Bistratified
CA1 IS O-Target QuadD,CA1 IS LMO-O
CA1 IS O-Target QuadD,CA1 IS O-R
CA1 IS O-Target QuadD,CA1 IS O-Target QuadD
CA1 IS O-Target QuadD,CA1 IS RO-O
CA1 IS O-Target QuadD,CA1 Ivy
CA1 IS O-Target QuadD,CA1 O-LM
CA1 IS O-Target QuadD,CA1 Recurrent O-LM
CA1 IS O-Target QuadD,CA1 O-LMR
CA1 IS O-Target QuadD,CA1 Oriens/Alveus
CA1 IS O-Target QuadD,CA1 Oriens-Bistratified
CA1 IS O-Target QuadD,CA1 Oriens-Bistratified Projecting
CA1 IS O-Target QuadD,CA1 OR-LM
CA1 IS O-Target QuadD,CA1 PPA QuadD
CA1 IS O-Target QuadD,CA1 Quadrilaminar
CA1 IS O-Target QuadD,CA1 SC-Receiving R-Targeting
CA1 IS O-Target QuadD,CA1 SO-SO
CA1 IS O-Target QuadD,CA1 Hipp-SUB Proj ENK+
CA1 IS O-Target QuadD,CA1 Trilaminar
CA1 IS O-Target QuadD,CA1 Radial Trilaminar
CA1 IS R-O,CA1 Axo-Axonic
CA1 IS R-O,CA1 Horizontal AA
CA1 IS R-O,CA1 Back-Projection
CA1 IS R-O,CA1 Basket
CA1 IS R-O,CA1 BC CCK+
CA1 IS R-O,CA1 Horizontal BC
CA1 IS R-O,CA1 Bistratified
CA1 IS R-O,CA1 C-Bistratified
CA1 IS R-O,CA1 IS LMO-O
CA1 IS R-O,CA1 IS O-R
CA1 IS R-O,CA1 IS O-Target QuadD
CA1 IS R-O,CA1 IS RO-O
CA1 IS R-O,CA1 Ivy
CA1 IS R-O,CA1 O-LM
CA1 IS R-O,CA1 Recurrent O-LM
CA1 IS R-O,CA1 O-LMR
CA1 IS R-O,CA1 Oriens/Alveus
CA1 IS R-O,CA1 Oriens-Bistratified
CA1 IS R-O,CA1 Oriens-Bistratified Projecting
CA1 IS R-O,CA1 OR-LM
CA1 IS R-O,CA1 PPA QuadD
CA1 IS R-O,CA1 Quadrilaminar
CA1 IS R-O,CA1 SC-Receiving R-Targeting
CA1 IS R-O,CA1 SO-SO
CA1 IS R-O,CA1 Hipp-SUB Proj ENK+
CA1 IS R-O,CA1 Trilaminar
CA1 IS R-O,CA1 Radial Trilaminar
CA1 IS RO-O,CA1 Axo-Axonic
CA1 IS RO-O,CA1 Horizontal AA
CA1 IS RO-O,CA1 Back-Projection
CA1 IS RO-O,CA1 Basket
CA1 IS RO-O,CA1 BC CCK+
CA1 IS RO-O,CA1 Horizontal BC
CA1 IS RO-O,CA1 Bistratified
CA1 IS RO-O,CA1 C-Bistratified
CA1 IS RO-O,CA1 IS LMO-O
CA1 IS RO-O,CA1 IS O-R
CA1 IS RO-O,CA1 IS O-Target QuadD
CA1 IS RO-O,CA1 IS RO-O
CA1 IS RO-O,CA1 Ivy
CA1 IS RO-O,CA1 O-LM
CA1 IS RO-O,CA1 Recurrent O-LM
CA1 IS RO-O,CA1 O-LMR
CA1 IS RO-O,CA1 Oriens/Alveus
CA1 IS RO-O,CA1 Oriens-Bistratified
CA1 IS RO-O,CA1 Oriens-Bistratified Projecting
CA1 IS RO-O,CA1 OR-LM
CA1 IS RO-O,CA1 PPA QuadD
CA1 IS RO-O,CA1 Quadrilaminar
CA1 IS RO-O,CA1 SC-Receiving R-Targeting
CA1 IS RO-O,CA1 SO-SO
CA1 IS RO-O,CA1 Hipp-SUB Proj ENK+
CA1 IS RO-O,CA1 Trilaminar
CA1 IS RO-O,CA1 Radial Trilaminar
CA1 Ivy,CA2 Wide-Arbor BC
CA1 Ivy,CA1 Pyramidal
CA1 Ivy,CA1 Superficial Pyramidal
CA1 Ivy,CA1 Deep Pyramidal
CA1 Ivy,CA1 Radiatum Giant
CA1 Ivy,CA1 Axo-Axonic
CA1 Ivy,CA1 Horizontal AA
CA1 Ivy,CA1 Back-Projection
CA1 Ivy,CA1 Basket
CA1 Ivy,CA1 BC CCK+
CA1 Ivy,CA1 Horizontal BC
CA1 Ivy,CA1 Bistratified
CA1 Ivy,CA1 C-Bistratified
CA1 Ivy,CA1 IS LMO-O
CA1 Ivy,CA1 IS LMR-R
CA1 Ivy,CA1 IS O-R
CA1 Ivy,CA1 IS O-Target QuadD
CA1 Ivy,CA1 IS R-O
CA1 Ivy,CA1 IS RO-O
CA1 Ivy,CA1 Ivy
CA1 Ivy,CA1 LMR
CA1 Ivy,CA1 LMR Projecting
CA1 Ivy,CA1 O-LM
CA1 Ivy,CA1 Recurrent O-LM
CA1 Ivy,CA1 O-LMR
CA1 Ivy,CA1 Oriens/Alveus
CA1 Ivy,CA1 Oriens-Bistratified
CA1 Ivy,CA1 Oriens-Bistratified Projecting
CA1 Ivy,CA1 OR-LM
CA1 Ivy,CA1 Perforant Path-Assoc
CA1 Ivy,CA1 PPA QuadD
CA1 Ivy,CA1 Quadrilaminar
CA1 Ivy,CA1 Radiatum
CA1 Ivy,CA1 R-Recv Apical-Target
CA1 Ivy,CA1 Schaffer Collateral-Assoc
CA1 Ivy,CA1 SC-Receiving R-Targeting
CA1 Ivy,CA1 SO-SO
CA1 Ivy,CA1 Hipp-SUB Proj ENK+
CA1 Ivy,CA1 Trilaminar
CA1 Ivy,CA1 Radial Trilaminar
CA1 LMR,CA1 Pyramidal
CA1 LMR,CA1 Superficial Pyramidal
CA1 LMR,CA1 Deep Pyramidal
CA1 LMR,CA1 Cajal-Retzius
CA1 LMR,CA1 Radiatum Giant
CA1 LMR,CA1 Axo-Axonic
CA1 LMR,CA1 Basket
CA1 LMR,CA1 BC CCK+
CA1 LMR,CA1 Bistratified
CA1 LMR,CA1 C-Bistratified
CA1 LMR,CA1 IS LMO-O
CA1 LMR,CA1 IS LM-R
CA1 LMR,CA1 IS LMR-R
CA1 LMR,CA1 IS O-Target QuadD
CA1 LMR,CA1 IS R-O
CA1 LMR,CA1 IS RO-O
CA1 LMR,CA1 Ivy
CA1 LMR,CA1 LMR
CA1 LMR,CA1 LMR Projecting
CA1 LMR,CA1 Neurogliaform
CA1 LMR,CA1 NGF Projecting
CA1 LMR,CA1 Oriens/Alveus
CA1 LMR,CA1 OR-LM
CA1 LMR,CA1 Perforant Path-Assoc
CA1 LMR,CA1 PPA QuadD
CA1 LMR,CA1 Quadrilaminar
CA1 LMR,CA1 Radiatum
CA1 LMR,CA1 R-Recv Apical-Target
CA1 LMR,CA1 Schaffer Collateral-Assoc
CA1 LMR,CA1 SC-Receiving R-Targeting
CA1 LMR,CA1 Hipp-SUB Proj ENK+
CA1 LMR,CA1 Radial Trilaminar
CA1 LMR Projecting,DG Granule
CA1 LMR Projecting,DG Hilar Ectopic Granule
CA1 LMR Projecting,DG Semilunar Granule
CA1 LMR Projecting,DG Mossy MOLDEN
CA1 LMR Projecting,DG AIPRIM
CA1 LMR Projecting,DG Axo-Axonic
CA1 LMR Projecting,DG Basket
CA1 LMR Projecting,DG BC CCK+
CA1 LMR Projecting,DG HICAP
CA1 LMR Projecting,DG HIPROM
CA1 LMR Projecting,DG MOCAP
CA1 LMR Projecting,DG MOLAX
CA1 LMR Projecting,DG MOPP
CA1 LMR Projecting,DG Neurogliaform
CA1 LMR Projecting,DG Outer Molecular Layer
CA1 LMR Projecting,DG Total Molecular Layer
CA1 LMR Projecting,CA1 Pyramidal
CA1 LMR Projecting,CA1 Superficial Pyramidal
CA1 LMR Projecting,CA1 Deep Pyramidal
CA1 LMR Projecting,CA1 Cajal-Retzius
CA1 LMR Projecting,CA1 Radiatum Giant
CA1 LMR Projecting,CA1 Axo-Axonic
CA1 LMR Projecting,CA1 Basket
CA1 LMR Projecting,CA1 BC CCK+
CA1 LMR Projecting,CA1 Bistratified
CA1 LMR Projecting,CA1 C-Bistratified
CA1 LMR Projecting,CA1 IS LMO-O
CA1 LMR Projecting,CA1 IS LM-R
CA1 LMR Projecting,CA1 IS LMR-R
CA1 LMR Projecting,CA1 IS O-Target QuadD
CA1 LMR Projecting,CA1 IS R-O
CA1 LMR Projecting,CA1 IS RO-O
CA1 LMR Projecting,CA1 Ivy
CA1 LMR Projecting,CA1 LMR
CA1 LMR Projecting,CA1 LMR Projecting
CA1 LMR Projecting,CA1 Neurogliaform
CA1 LMR Projecting,CA1 NGF Projecting
CA1 LMR Projecting,CA1 Oriens/Alveus
CA1 LMR Projecting,CA1 OR-LM
CA1 LMR Projecting,CA1 Perforant Path-Assoc
CA1 LMR Projecting,CA1 PPA QuadD
CA1 LMR Projecting,CA1 Quadrilaminar
CA1 LMR Projecting,CA1 Radiatum
CA1 LMR Projecting,CA1 R-Recv Apical-Target
CA1 LMR Projecting,CA1 Schaffer Collateral-Assoc
CA1 LMR Projecting,CA1 SC-Receiving R-Targeting
CA1 LMR Projecting,CA1 Hipp-SUB Proj ENK+
CA1 LMR Projecting,CA1 Radial Trilaminar
CA1 Neurogliaform,CA1 Pyramidal
CA1 Neurogliaform,CA1 Superficial Pyramidal
CA1 Neurogliaform,CA1 Deep Pyramidal
CA1 Neurogliaform,CA1 Cajal-Retzius
CA1 Neurogliaform,CA1 Radiatum Giant
